Chromosome Arm	X1033	X1087.1	X1210	X1211.2	X1212	X1333.4	X1343.2	X1352.1	X1379	X1382.2	X1410	X1412	X1413	X1448.2	X1484	X1498	X1512.6	X1528.7	X1533.1	X1533.10	X1533.13	X1541.4	X195	X2259.1	X2297	X2307	X2335	X2380	X2505	X2541.1	X2542	X2571.2	X259	X2691	X2816	X2817	X2821	X3031	X3046	X3161	X338	X3395	X3554	X407	X413	X447B	X448	X506	X518	X813.1	X824.1	X848	X877	X908	X910	X924.1	X943
1p	0.000	0.000	0.000	0.000	0.000	0.000	-0.383	0.000	0.333	0.126	0.000	0.000	0.000	0.000	0.000	0.116	0.000	-0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.148	0.000	0.262	0.379	0.000	0.000	0.000	0.000	0.478	0.000	0.152	0.000	0.000	-0.183	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000	-0.435	0.144	0.000	0.000	0.456	0.000	0.000
1q	0.000	0.000	0.000	0.209	0.000	0.000	0.000	0.793	0.333	0.126	0.000	0.000	0.000	0.000	0.647	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.662	0.148	0.000	0.262	0.863	0.000	0.000	0.000	0.000	0.478	0.597	0.000	0.000	0.000	0.291	0.000	0.000	0.000	0.000	0.000	0.551	0.116	0.000	-0.084	0.144	0.000	0.000	0.456	0.000	0.000
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.346	0.000	0.000	0.000	0.000	0.000	-0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.122	0.000	0.000	0.000	0.000	0.141	0.392	0.000	0.000	0.316	0.000	0.000	0.000	0.000	0.000	-0.627	0.000	0.000	0.000	0.410	0.000	0.000	0.001	0.116	0.000	0.000	0.000	0.000	0.000	0.657	0.372	0.000	-0.155	0.000	-0.165
2q	0.000	0.000	0.000	-0.117	0.000	0.000	0.000	0.000	0.000	0.239	0.000	0.000	0.000	-0.105	0.000	-0.693	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.392	0.000	-0.364	-0.114	0.000	0.000	0.000	0.000	0.000	-0.627	0.000	0.000	0.000	0.000	0.000	0.000	-0.588	0.000	0.000	0.000	0.000	0.000	0.000	0.185	0.000	0.000	-0.155	0.000	-0.165
3p	0.219	-0.130	0.000	-0.241	0.000	0.000	-0.393	0.000	0.000	-0.153	0.000	0.000	0.000	0.000	-0.229	0.000	-0.132	0.311	0.000	-0.521	-0.131	-0.083	0.286	0.474	0.000	0.000	0.000	0.000	-0.150	-0.190	0.507	0.290	0.000	0.000	0.000	0.000	0.000	-0.619	0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.701	0.000	0.208
3q	0.219	0.000	0.000	0.000	0.000	0.000	-0.393	0.000	0.000	0.160	0.000	0.000	0.000	0.000	0.564	0.000	0.108	0.311	-0.607	-0.521	-0.379	0.223	0.286	0.474	0.000	0.000	0.000	0.000	-0.150	0.000	0.507	0.290	0.000	0.000	0.000	0.000	0.000	0.000	0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.316	0.000	0.000	0.407	0.000	0.208
4p	0.000	-0.368	0.000	0.000	0.000	0.000	-0.385	0.000	0.000	-0.108	-0.511	0.000	0.000	0.000	-0.135	0.000	-0.208	-0.236	0.000	0.000	0.000	-0.216	-0.185	0.000	0.000	0.000	0.000	0.245	-0.314	0.358	0.000	-0.259	0.000	0.000	0.000	-0.105	0.000	0.000	-0.107	0.000	0.000	-0.279	0.000	0.000	-0.286	0.000	0.000	0.000	-0.123	0.000	0.000	-0.251	-0.140	0.000	-0.172	0.000	0.000
4q	0.000	-0.368	0.000	-0.278	0.000	0.000	-0.385	0.000	0.000	-0.108	-0.511	0.000	0.000	0.000	-0.457	0.531	-0.208	-0.236	0.000	0.000	0.000	0.000	-0.185	0.000	0.000	0.000	0.000	0.000	-0.548	-0.274	0.000	0.000	0.000	0.000	0.000	-0.105	0.000	0.000	-0.107	0.000	0.000	-0.279	0.000	0.000	0.000	0.000	0.000	0.000	-0.123	0.000	0.000	-0.251	-0.140	0.000	-0.172	0.000	0.000
5p	0.000	0.000	0.000	0.230	0.000	0.000	-0.136	0.000	0.000	0.000	0.005	0.000	0.000	0.000	1.574	0.000	0.000	0.000	0.000	0.000	0.000	0.241	0.355	0.000	0.000	0.000	0.000	0.000	0.271	0.000	0.132	0.922	-0.140	0.000	0.000	0.000	1.291	0.710	0.506	0.000	0.000	0.566	0.000	-0.131	0.689	0.937	0.000	0.000	0.000	0.000	-0.342	-0.226	0.000	0.000	0.873	0.000	0.136
5q	-0.182	0.000	0.000	-0.173	0.000	0.000	-0.431	0.000	0.000	-0.181	-0.499	0.000	0.000	0.000	0.000	0.000	0.000	-0.209	0.000	0.000	0.000	0.241	0.000	0.000	0.000	0.000	0.000	0.000	-0.297	0.000	0.014	0.000	-0.140	0.000	0.000	0.000	0.000	0.000	-0.300	0.000	0.000	-0.152	0.000	-0.131	-0.570	0.000	0.000	0.000	0.000	0.000	-0.342	-0.226	0.000	0.000	-0.122	0.000	0.136
