Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	X1033	X1087.1	X1210	X1211.2	X1212	X1333.4	X1343.2	X1352.1	X1379	X1382.2	X1410	X1412	X1413	X1448.2	X1484	X1498	X1512.6	X1528.7	X1533.1	X1533.10	X1533.13	X1541.4	X195	X2259.1	X2297	X2307	X2335	X2380	X2505	X2541.1	X2542	X2571.2	X259	X2691	X2816	X2817	X2821	X3031	X3046	X3161	X338	X3395	X3554	X407	X413	X447B	X448	X506	X518	X813.1	X824.1	X848	X877	X908	X910	X924.1	X943	
Amplification Peak 1	6p22.3 	chr6:1-23689722(probes 678:693)              	chr6:20151163-22121305(probes 691:692)      	chr6:1-26202558(probes 678:695)              	0.22189	   0.22189		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	
Amplification Peak 2	8q24.21	chr8:126699018-133028355(probes 1060:1066)	chr8:126736647-131126029(probes 1061:1065)	chr8:110579325-135658722(probes 1050:1072)	0.0023906	 0.0023906		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	1	0	0	2	0	0	1	0	0	0	0	1	0	1	0	2	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	2	0	1	0	0	0	1	0	1	0	1	
Amplification Peak 3	11q13.3	chr11:67858533-70080863(probes 1417:1421)  	chr11:68464010-69960158(probes 1418:1420)  	chr11:68464010-76711810(probes 1418:1433)  	0.043582	  0.043582		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	
Deletion Peak 1	2q37.1  	chr2:203491241-243018229(probes 287:307)  	chr2:220617940-243018229(probes 295:307)   	chr2:212072821-243018229(probes 292:307)  	0.072723	   0.072723		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
Deletion Peak 2	8p23.2  	chr8:1-9920972(probes 943:954)                  	chr8:1-9673668(probes 943:953)                   	chr8:1-10286798(probes 943:956)                	0.0013524	  0.0013524		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	
Deletion Peak 3	10q25.1 	chr10:90023680-120901085(probes 1269:1295)	chr10:99236895-120666405(probes 1273:1294)	chr10:85385249-122383274(probes 1266:1297)	2.0665e-05	 2.0665e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	
Deletion Peak 4	13q14.13	chr13:1-72286862(probes 1587:1609)         	chr13:39968551-52111176(probes 1596:1605)   	chr13:1-72931470(probes 1587:1611)         	0.051587	   0.051587		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	
Amplification Peak 1 - log2 ratios	6p22.3 	chr6:1-23689722(probes 678:693)              	chr6:20151163-22121305(probes 691:692)      	chr6:1-26202558(probes 678:695)              	0.22189	   0.22189		Actual Copy Change Given	0.092488	-0.023789	-0.0096866	1.3357	0.02121	-0.0022764	0.18588	-0.03396	-0.016276	0.23302	-0.023933	0.023678	0.021735	0.11454	0.39953	0.77898	0.090631	0.07219	0	0.0061761	-0.007501	-0.022815	0.15853	-0.044331	0.012109	0.010361	-0.008391	0.48677	1.3729	1.2626	-0.18004	1.0866	0.026617	0.0072115	-0.010184	-0.0099026	-0.012363	0.016219	0.058582	0.018451	0.014359	0	-0.0079685	0.14911	0.1174	0.38344	-0.0096462	0.0081065	0.11617	0	0.084738	0.085206	0.24411	-0.00438	0.17677	0.0090303	0	
Amplification Peak 2 - log2 ratios	8q24.21	chr8:126699018-133028355(probes 1060:1066)	chr8:126736647-131126029(probes 1061:1065)	chr8:110579325-135658722(probes 1050:1072)	0.0023906	 0.0023906		Actual Copy Change Given	0.098315	0.28303	0.012797	0.36497	0.05098	0.0082584	3.6569	0.037504	0.022407	0.57491	0.02606	0.019049	0.043986	0.0033037	0.26834	-0.0053744	0.17199	-0.11527	1.4209	1.1738	0.61283	0.47517	0.18123	-0.066041	0.016282	-0.0040733	0.025423	0.086808	0.016948	0.06707	0.16605	-0.078537	0.064517	0.031604	0.020947	-0.0163	0.014701	0.013896	0.52388	0	0	0.37279	0.042933	0.50199	0.032301	1.7094	1.4109	0.042246	0.26472	0.038678	0.01059	-0.22987	0.61238	0	0.6552	-0.015932	0.68701	
Amplification Peak 3 - log2 ratios	11q13.3	chr11:67858533-70080863(probes 1417:1421)  	chr11:68464010-69960158(probes 1418:1420)  	chr11:68464010-76711810(probes 1418:1433)  	0.043582	  0.043582		Actual Copy Change Given	-0.11019	0.74104	0.45888	-0.26575	-0.014755	0	-0.036237	-0.0037499	0.0067431	-0.16175	0.018474	0.027934	0	-0.039737	3.437e-06	-0.71661	0.17435	-0.20452	0.37328	0.11862	0.1535	0.26886	-0.051988	-0.048423	0.028883	0.02248	-0.010287	-0.32528	0.056972	0.24461	0.17615	-0.027263	-0.098673	-0.003306	-0.016995	0.020625	0.0061126	0.012045	1.1397	-0.0032805	-0.023425	-0.093777	0.0015956	0.059806	-0.06452	0.14328	-0.0066817	0.032922	-0.15345	-0.0098419	0.013927	-0.17652	2.9836	-0.010832	-0.11784	-0.0035467	-0.0048977	
